area_id_from,area_id_to,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DGR,WS
11,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SJR_EAST,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,SAC_NORTH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,SJR_EAST,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,50_PA2,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
34,50_PA2,0,0,0.105,0,0,0.967,0,0,0,0,0,0,0,0,0
36,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,SAC_NORTH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,OMR,0,0.160,0.074,0,0,0,0,0.229,0.004,0.880,0,0,0,0,0
43,SJR_EAST,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,MOK,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,OMR,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,SJR_EAST,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,OMR,0,0,0.035,0.107,0,0,0,0.746,0,0.040,0,0,0,0,0
103,OMR,0,0.986,0.972,0.809,0,0,0,0.998,0.956,0.912,1,0,0,0,0
105,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,SJR_EAST,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,SAC_SOUTH,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,50_PA2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
130,SJR_WEST,0,0.568,0.826,0.232,0,0.790,0,0.126,0.379,0.415,0.625,0,0,0,0
143,SJR_EAST,0.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,SAC_NORTH,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,SAC_NORTH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,50_PA2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,50_PA2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,SJR_EAST,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,SJR_EAST,0.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,SJR_EAST,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,SJR_EAST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,50_PA2,0,0,0.000,0,0,0.001,0,0,0,0.006,0,0,0,0,0
103,50_PA2,0,0,0,0,0,1,0,0,0,0.008,0,0,0,0,0
148,SAC_NORTH,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,OMR,0.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,OMR,0.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
