area_id_from,area_id_to,name,uplow,acreage,docregion
11,SJR_EAST,Stockton in ROUGH AND READY 11,low,1134,Midrange
12,SJR_EAST,Stockton in MOSS TRACT  (BOGGS) 12,low,2699,Midrange
24,SAC_NORTH,Sacramento in POCKET DISTRICT 24,low,3032,Lower
25,SJR_EAST,Stockton in ROBERTS ISLAND  (LOWER) 25,low,0,Midrange
33,PA_50A,PA_50A in BYRON TRACT 33,low,2,High
34,PA_50A,PA_50A in CLIFTON COURT 34,low,108,High
36,SJR_EAST,Stockton in WEBER TRACT 36,up,854,Lower
38,SAC_NORTH,West Sac in WEST SACRAMENTO 38,low,7654,Lower
41,OMR,BantaCarbona in PICO AND NAGLEE 41,up,425,Lower
43,SJR_EAST,Stockton in SMITH RANCH 43,low,792,High
45,SJR_EAST,Stockton in SMITH TRACT 45,up,1984,Lower
63,MOK,Stockton in BISHOP TRACT 63,low,294,High
66,OMR,Tracy in PESCADERO DISTRICT 66,up,433,Lower
75,SJR_EAST,Stockton in SARGENT-BARNHART TRACT 75,low,1175,High
79,OMR,BantaCarbona in KASSON 79,up,177,Lower
103,OMR,BantaCarbona in UNDESIGNATED AREA 103,up,13607,High
105,SJR_EAST,Stockton in ATLAS TRACT 105,low,0,High
106,SJR_EAST,Stockton in ATLAS TRACT 106,up,1,High
108,SJR_EAST,Stockton in ELMWOOD TRACT 108,low,19,High
116,SJR_EAST,Stockton in SHIMA TRACT 116,low,2,High
120,SJR_EAST,Stockton in WRIGHT TRACT 120,low,0,High
125,SAC_SOUTH,Sacramento in UNDESIGNATED AREA 125,low,0,Lower
128,PA_50A,PA_50A in UNDESIGNATED AREA 128,up,1687,Lower
130,SJR_WEST,PA_50A in UNDESIGNATED AREA 130,up,4401,Lower
143,SJR_EAST,Stockton in split from island 4 143,up,1183,Lower
147,SAC_NORTH,Sacramento in split from island 93 147,up,2492,Lower
148,SAC_NORTH,Sacramento in split from island 93 148,up,321,Lower
149,PA_50A,Stockton in split from island 102 149,low,180,High
150,PA_50A,Stockton in split from island 102 150,low,719,High
151,SJR_EAST,Stockton in split from island 102 151,low,477,High
153,SJR_EAST,Stockton in split from island 103 153,up,4180,High
155,SJR_EAST,Stockton in split from island 103 155,up,970,High
157,SJR_EAST,Stockton in split from island 103 157,up,568,High
41,PA_50A,PA_50A in PICO AND NAGLEE 41,up,2,Lower
103,PA_50A,PA_50A in UNDESIGNATED AREA 103,up,84,High
148,SAC_NORTH,West Sac in split from island 93 148,up,5,Lower
41,OMR,Tracy in PICO AND NAGLEE 41,up,1078,Lower
103,OMR,Tracy in UNDESIGNATED AREA 103,up,6994,High
PA_50A,50_PA2,PA_50A to Calsim3 50_PA2,_,0,_
